isin,traspasable,fund_name
FR0010693051,True,Groupama Asset Management Groupama Entreprises
IE00B66F4759,False,iShares Euro High Yield Corporate Bond UCITS ETF
IE00B2NPKV68,False,iShares J.P. Morgan $ Emerging Markets Bond UCITS ETF
LU0318940003,True,Fidelity Funds - European Dynamic Growth Fund
IE00B4ND3602,False,ISHARES PHYSICAL GOLD ETF
LU0582533245,True,Robeco Emerging Conservative Equities
